id,soc_broad_id,occ_code,title,description
382,191,33-9098,"School Bus Monitors and Protective Service Workers, All Other","This occupation includes the 2018 SOC occupations 33-9094 School Bus
Monitors and 33-9099 Protective Service Workers, All Other and the 2010 SOC
occupation 33-9099 Protective Service Workers, All Other."
383,192,35-1011,Chefs and Head Cooks,"Direct and may participate in the preparation, seasoning, and cooking of
salads, soups, fish, meats, vegetables, desserts, or other foods. May plan
and price menu items, order supplies, and keep records and accounts."
384,192,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,"Directly supervise and coordinate activities of workers engaged in
preparing and serving food."
385,193,35-2011,"Cooks, Fast Food","Prepare and cook food in a fast food restaurant with a limited menu. Duties
of these cooks are limited to preparation of a few basic items and normally
involve operating large-volume single-purpose cooking equipment."
386,193,35-2012,"Cooks, Institution and Cafeteria","Prepare and cook large quantities of food for institutions, such as
schools, hospitals, or cafeterias."
387,193,35-2013,"Cooks, Private Household",Prepare meals in private homes. Includes personal chefs.
388,193,35-2014,"Cooks, Restaurant","Prepare, season, and cook dishes such as soups, meats, vegetables, or
desserts in restaurants. May order supplies, keep records and accounts,
price items on menu, or plan menu."
389,193,35-2015,"Cooks, Short Order","Prepare and cook to order a variety of foods that require only a short
preparation time. May take orders from customers and serve patrons at
counters or tables. Excludes ""Cooks, Fast Food"" (35-2011)."
390,193,35-2019,"Cooks, All Other",All cooks not listed separately.
391,194,35-2021,Food Preparation Workers,"Perform a variety of food preparation duties other than cooking, such as
preparing cold foods and shellfish, slicing meat, and brewing coffee or tea."
392,195,35-3011,Bartenders,"Mix and serve drinks to patrons, directly or through waitstaff."
393,196,35-3023,Fast Food and Counter Workers,"Perform duties such as taking orders and serving food and beverages. Serve
customers at counter or from a steam table. May take payment. May prepare
food and beverages. Counter attendants who also wait tables are included in
""Waiters and Waitresses"" (35-3031),"
394,197,35-3031,Waiters and Waitresses,"Take orders and serve food and beverages to patrons at tables in dining
establishment. Excludes ""Fast Food and Counter Workers"" (35-3023)."
395,198,35-3041,"Food Servers, Nonrestaurant","Serve food to individuals outside of a restaurant environment, such as in
hotel rooms, hospital rooms, residential care facilities, or cars. Excludes
""Fast Food and Counter Workers"" (35-3023) and ""Door-to-Door Sales Workers,
News and Street Vendors, and Related Workers"" (41-9091)."
396,199,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,"Facilitate food service. Clean tables; remove dirty dishes; replace soiled
table linens; set tables; replenish supply of clean linens, silverware,
glassware, and dishes; supply service bar with food; and serve items such
as water, condiments, and coffee to patrons."
397,200,35-9021,Dishwashers,"Clean dishes, kitchen, food preparation equipment, or utensils."
398,201,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","Welcome patrons, seat them at tables or in lounge, and help ensure quality
of facilities and service."
399,202,35-9099,"Food Preparation and Serving Related Workers, All Other",All food preparation and serving related workers not listed separately.
400,203,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,"Directly supervise and coordinate work activities of cleaning personnel in
hotels, hospitals, offices, and other establishments."
401,203,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","Directly supervise and coordinate activities of workers engaged in
landscaping or groundskeeping activities. Work may involve reviewing
contracts to ascertain service, machine, and workforce requirements;
answering inquiries from potential customers regarding methods, material,
and price ranges; and preparing estimates according to labor, material, and
machine costs."
402,204,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","Keep buildings in clean and orderly condition. Perform heavy cleaning
duties, such as cleaning floors, shampooing rugs, washing walls and glass,
and removing rubbish. Duties may include tending furnace and boiler,
performing routine maintenance activities, notifying management of need for
repairs, and cleaning snow or debris from sidewalk."
403,204,37-2012,Maids and Housekeeping Cleaners,"Perform any combination of light cleaning duties to maintain private
households or commercial establishments, such as hotels and hospitals, in a
clean and orderly manner. Duties may include making beds, replenishing
linens, cleaning rooms and halls, and vacuuming."
404,204,37-2019,"Building Cleaning Workers, All Other",All building cleaning workers not listed separately.
405,205,37-2021,Pest Control Workers,"Apply or release chemical solutions or toxic gases and set traps to kill or
remove pests and vermin that infest buildings and surrounding areas."
406,206,37-3011,Landscaping and Groundskeeping Workers,"Landscape or maintain grounds of property using hand or power tools or
equipment. Workers typically perform a variety of tasks, which may include
any combination of the following: sod laying, mowing, trimming, planting,
watering, fertilizing, digging, raking, sprinkler installation, and
installation of mortarless segmental concrete masonry wall units. Excludes
""Farmworkers and Laborers, Crop, Nursery, and Greenhouse"" (45-2092)."
407,206,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Mix or apply pesticides, herbicides, fungicides, or insecticides through
sprays, dusts, vapors, soil incorporation, or chemical application on
trees, shrubs, lawns, or crops. Usually requires specific training and
state or federal certification. Crop dusters are included in ""Commercial
Pilots"" (53-2012)."
408,206,37-3013,Tree Trimmers and Pruners,"Using sophisticated climbing and rigging techniques, cut away dead or
excess branches from trees or shrubs to maintain right-of-way for roads,
sidewalks, or utilities, or to improve appearance, health, and value of
tree. Prune or treat trees or shrubs using handsaws, hand pruners,
clippers, and power pruners. Works off the ground in the tree canopy and
may use truck-mounted lifts. Excludes workers who primarily perform duties
of ""Landscaping and Groundskeeping Workers"" (37-3011) and ""Pesticide
Handlers, Sprayers, and Applicators, Vegetation"" (37-3012)."
409,206,37-3019,"Grounds Maintenance Workers, All Other",All grounds maintenance workers not listed separately.
410,206,39-1013,First-Line Supervisors of Gambling Services Workers,"Directly supervise and coordinate activities of workers in assigned
gambling areas. May circulate among tables, observe operations, and ensure
that stations and games are covered for each shift. May verify and pay off
jackpots. May reset slot machines after payoffs and make repairs or
adjustments to slot machines or recommend removal of slot machines for
repair. May plan and organize activities and services for guests in
hotels/casinos."
411,206,39-1098,"First-Line Supervisors of Personal Service and Entertainment and Recreation Workers, Except Gambling Services","This occupation includes the 2018 SOC occupations 39-1014 First-Line
Supervisors of Entertainment and Recreation Workers, Except Gambling
Services and 39-1022 First-Line Supervisors of Personal Service Workers and
the 2010 SOC occupations 39-1021 First-Line Supervisors of Personal Service
Workers."
412,207,39-2011,Animal Trainers,"Train animals for riding, harness, security, performance, or obedience, or
for assisting persons with disabilities. Accustom animals to human voice
and contact, and condition animals to respond to commands. Train animals
according to prescribed standards for show or competition. May train
animals to carry pack loads or work as part of pack team."
413,208,39-2021,Animal Caretakers,"Feed, water, groom, bathe, exercise, or otherwise provide care to promote
and maintain the well-being of pets and other animals that are not raised
for consumption, such as dogs, cats, race horses, ornamental fish or birds,
zoo animals, and mice. Work in settings such as kennels, animal shelters,
zoos, circuses, and aquariums. May keep records of feedings, treatments,
and animals received or discharged. May clean, disinfect, and repair cages,
pens, or fish tanks. Excludes ""Veterinary Assistants and Laboratory Animal
Caretakers"" (31-9096) and ""Farmworkers, Farm, Ranch, and Aquacultural
Animals"" (45-2093)."
414,209,39-3011,Gambling Dealers,"Operate table games. Stand or sit behind table and operate games of chance
by dispensing the appropriate number of cards or blocks to players, or
operating other gambling equipment. Distribute winnings or collect players'
money or chips. May compare the house's hand against players' hands."
415,209,39-3012,Gambling and Sports Book Writers and Runners,"Post information enabling patrons to wager on various races and sporting
events. Assist in the operation of games such as keno and bingo. May
operate random number-generating equipment and announce the numbers for
patrons. Receive, verify, and record patrons' wagers. Scan and process
winning tickets presented by patrons and pay out winnings for those wagers."
416,209,39-3019,"Gambling Service Workers, All Other",All gambling service workers not listed separately.
417,210,39-3021,Motion Picture Projectionists,"Set up and operate motion picture projection and related sound reproduction
equipment."
418,211,39-3031,"Ushers, Lobby Attendants, and Ticket Takers","Assist patrons at entertainment events by performing duties, such as
collecting admission tickets and passes from patrons, assisting in finding
seats, searching for lost articles, and helping patrons locate such
facilities as restrooms and telephones."
419,212,39-3091,Amusement and Recreation Attendants,"Perform a variety of attending duties at amusement or recreation facility.
May schedule use of recreation facilities, maintain and provide equipment
to participants of sporting events or recreational pursuits, or operate
amusement concessions and rides."
420,212,39-3092,Costume Attendants,"Select, fit, and take care of costumes for cast members, and aid
entertainers. May assist with multiple costume changes during performances."
421,212,39-3093,"Locker Room, Coatroom, and Dressing Room Attendants","Provide personal items to patrons or customers in locker rooms, dressing
rooms, or coatrooms."
422,212,39-3099,"Entertainment Attendants and Related Workers, All Other",All entertainment attendants and related workers not listed separately.
423,212,39-4011,Embalmers,Prepare bodies for interment in conformity with legal requirements.
424,213,39-4021,Funeral Attendants,"Perform a variety of tasks during funeral, such as placing casket in parlor
or chapel prior to service, arranging floral offerings or lights around
casket, directing or escorting mourners, closing casket, and issuing and
storing funeral equipment."
425,214,39-4031,"Morticians, Undertakers, and Funeral Arrangers","Perform various tasks to arrange and direct individual funeral services,
such as coordinating transportation of body to mortuary, interviewing
family or other authorized person to arrange details, selecting
pallbearers, aiding with the selection of officials for religious rites,
and providing transportation for mourners. Excludes ""Funeral Home Managers""
(11-9171)."
426,215,39-5011,Barbers,"Provide barbering services, such as cutting, trimming, shampooing, and
styling hair; trimming beards; or giving shaves."
427,215,39-5012,"Hairdressers, Hairstylists, and Cosmetologists","Provide beauty services, such as cutting, coloring, and styling hair, and
massaging and treating scalp. May shampoo hair, apply makeup, dress wigs,
remove hair, and provide nail and skincare services. Excludes ""Makeup
Artists, Theatrical and Performance"" (39-5091), ""Manicurists and
Pedicurists"" (39-5092), and ""Skincare Specialists"" (39-5094)."
428,216,39-5091,"Makeup Artists, Theatrical and Performance","Apply makeup to performers to reflect period, setting, and situation of
their role."
429,216,39-5092,Manicurists and Pedicurists,"Clean and shape customers' fingernails and toenails. May polish or decorate
nails."
430,216,39-5093,Shampooers,Shampoo and rinse customers' hair.
431,216,39-5094,Skincare Specialists,"Provide skincare treatments to face and body to enhance an individual's
appearance. Includes electrologists and laser hair removal specialists."
432,217,39-6011,Baggage Porters and Bellhops,"Handle baggage for travelers at transportation terminals or for guests at
hotels or similar establishments."
433,217,39-6012,Concierges,"Assist patrons at hotel, apartment, or office building with personal
services. May take messages; arrange or give advice on transportation,
business services, or entertainment; or monitor guest requests for
housekeeping and maintenance."
434,218,39-7010,Tour and Travel Guides,"This occupation includes the 2018 and 2010 SOC occupations 39-7011 Tour
Guides and Escorts and 39-7012 Travel Guides."
435,219,39-9011,Childcare Workers,"Attend to children at schools, businesses, private households, and
childcare institutions. Perform a variety of tasks, such as dressing,
feeding, bathing, and overseeing play. Excludes ""Preschool Teachers, Except
Special Education"" (25-2011) and ""Teaching Assistants, Preschool,
Elementary, Middle, and Secondary School, Except Special Education""
(25-9042)."
436,220,39-9031,Exercise Trainers and Group Fitness Instructors,"Instruct or coach groups or individuals in exercise activities for the
primary purpose of personal fitness. Demonstrate techniques and form,
observe participants, and explain to them corrective measures necessary to
improve their skills. Develop and implement individualized approaches to
exercise. Excludes ""Educational Instruction and Library Occupations""
(25-0000), ""Coaches and Scouts"" (27-2022), and ""Athletic Trainers""
(29-9091)."
437,220,39-9032,Recreation Workers,"Conduct recreation activities with groups in public, private, or volunteer
agencies or recreation facilities. Organize and promote activities, such as
arts and crafts, sports, games, music, dramatics, social recreation,
camping, and hobbies, taking into account the needs and interests of
individual members."
438,221,39-9041,Residential Advisors,"Coordinate activities in resident facilities in secondary school and
college dormitories, group homes, or similar establishments. Order supplies
and determine need for maintenance, repairs, and furnishings. May maintain
household records and assign rooms. May assist residents with problem
solving or refer them to counseling resources."
439,221,39-9098,"Crematory Operators and Personal Care and Service Workers, All Other","This occupation includes the 2018 SOC occupations 39-4012 Crematory
Operators and 39-9099 Personal Care and Service Workers, All Other and the
2010 SOC occupation 39-9099 Personal Care and Service Workers, All Other."
440,222,41-1011,First-Line Supervisors of Retail Sales Workers,"Directly supervise and coordinate activities of retail sales workers in an
establishment or department. Duties may include management functions, such
as purchasing, budgeting, accounting, and personnel work, in addition to
supervisory duties."
441,222,41-1012,First-Line Supervisors of Non-Retail Sales Workers,"Directly supervise and coordinate activities of sales workers other than
retail sales workers. May perform duties such as budgeting, accounting, and
personnel work, in addition to supervisory duties."
442,223,41-2011,Cashiers,"Receive and disburse money in establishments other than financial
institutions. May use electronic scanners, cash registers, or related
equipment. May process credit or debit card transactions and validate
checks. Excludes ""Gambling Change Persons and Booth Cashiers"" (41-2012)."
443,223,41-2012,Gambling Change Persons and Booth Cashiers,"Exchange coins, tokens, and chips for patrons' money. May issue payoffs and
obtain customer's signature on receipt. May operate a booth in the slot
machine area and furnish change persons with money bank at the start of the
shift, or count and audit money in drawers. Excludes ""Cashiers"" (41-2011)."
444,224,41-2021,Counter and Rental Clerks,"Receive orders, generally in person, for repairs, rentals, and services.
May describe available options, compute cost, and accept payment. Excludes
""Fast Food and Counter Workers"" (35-3023), ""Hotel, Motel, and Resort Desk
Clerks"" (43-4081), ""Order Clerks"" (43-4151), and ""Reservation and
Transportation Ticket Agents and Travel Clerks"" (43-4181)."
445,224,41-2022,Parts Salespersons,"Sell spare and replacement parts and equipment in repair shop or parts
store."
446,225,41-2031,Retail Salespersons,"Sell merchandise, such as furniture, motor vehicles, appliances, or apparel
to consumers. Excludes ""Cashiers"" (41-2011)."
447,226,41-3011,Advertising Sales Agents,"Sell or solicit advertising space, time, or media in publications, signage,
TV, radio, or Internet establishments or public spaces."
448,227,41-3021,Insurance Sales Agents,"Sell life, property, casualty, health, automotive, or other types of
insurance. May refer clients to independent brokers, work as an independent
broker, or be employed by an insurance company."
449,228,41-3031,"Securities, Commodities, and Financial Services Sales Agents","Buy and sell securities or commodities in investment and trading firms, or
provide financial services to businesses and individuals. May advise
customers about stocks, bonds, mutual funds, commodities, and market
conditions."
450,229,41-3041,Travel Agents,"Plan and sell transportation and accommodations for customers. Determine
destination, modes of transportation, travel dates, costs, and
accommodations required. May also describe, plan, and arrange itineraries
and sell tour packages. May assist in resolving clients' travel problems."
451,230,41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","Sell services to individuals or businesses. May describe options or resolve
client problems. Excludes ""Advertising Sales Agents"" (41-3011), ""Insurance
Sales Agents"" (41-3021), ""Securities, Commodities, and Financial Services
Sales Agents"" (41-3031), ""Travel Agents"" (41-3041), ""Sales Representatives,
Wholesale and Manufacturing"" (41-4010), and ""Telemarketers"" (41-9041)."
452,231,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Sell goods for wholesalers or manufacturers where technical or scientific
knowledge is required in such areas as biology, engineering, chemistry, and
electronics, normally obtained from at least 2 years of postsecondary
education. Excludes ""Sales Engineers"" (41-9031)."
453,231,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","Sell goods for wholesalers or manufacturers to businesses or groups of
individuals. Work requires substantial knowledge of items sold."
454,232,41-9011,Demonstrators and Product Promoters,"Demonstrate merchandise and answer questions for the purpose of creating
public interest in buying the product. May sell demonstrated merchandise."
455,232,41-9012,Models,"Model garments or other apparel and accessories for prospective buyers at
fashion shows, private showings, or retail establishments. May pose for
photos to be used in magazines or advertisements. May pose as subject for
paintings, sculptures, and other types of artistic expression."
456,233,41-9021,Real Estate Brokers,"Operate real estate office, or work for commercial real estate firm,
overseeing real estate transactions. Other duties usually include selling
real estate or renting properties and arranging loans."
457,233,41-9022,Real Estate Sales Agents,"Rent, buy, or sell property for clients. Perform duties such as study
property listings, interview prospective clients, accompany clients to
property site, discuss conditions of sale, and draw up real estate
contracts. Includes agents who represent buyer."
458,234,41-9031,Sales Engineers,"Sell business goods or services, the selling of which requires a technical
background equivalent to a baccalaureate degree in engineering. Excludes
""Engineers"" (17-2011 through 17-2199) whose primary function is not
marketing or sales."
459,235,41-9041,Telemarketers,Solicit donations or orders for goods or services over the telephone.
460,236,41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Sell goods or services door-to-door or on the street.
461,236,41-9099,"Sales and Related Workers, All Other",All sales and related workers not listed separately.
462,237,43-1011,First-Line Supervisors of Office and Administrative Support Workers,"Directly supervise and coordinate the activities of clerical and
administrative support workers."
463,238,43-2011,"Switchboard Operators, Including Answering Service","Operate telephone business systems equipment or switchboards to relay
incoming, outgoing, and interoffice calls. May supply information to
callers and record messages."
464,239,43-2021,Telephone Operators,"Provide information by accessing alphabetical, geographical, or other
directories. Assist customers with special billing requests, such as
charges to a third party and credits or refunds for incorrectly dialed
numbers or bad connections. May handle emergency calls and assist children
or people with physical disabilities to make telephone calls."
465,240,43-2099,"Communications Equipment Operators, All Other",All communications equipment operators not listed separately.
466,241,43-3011,Bill and Account Collectors,"Locate and notify customers of delinquent accounts by mail, telephone, or
personal visit to solicit payment. Duties include receiving payment and
posting amount to customer's account, preparing statements to credit
department if customer fails to respond, initiating repossession
proceedings or service disconnection, and keeping records of collection and
status of accounts."
467,242,43-3021,Billing and Posting Clerks,"Compile, compute, and record billing, accounting, statistical, and other
numerical data for billing purposes. Prepare billing invoices for services
rendered or for delivery or shipment of goods. Excludes ""Medical Records
Specialists"" (29-2072)."
468,243,43-3031,"Bookkeeping, Accounting, and Auditing Clerks","Compute, classify, and record numerical data to keep financial records
complete. Perform any combination of routine calculating, posting, and
verifying duties to obtain primary financial data for use in maintaining
accounting records. May also check the accuracy of figures, calculations,
and postings pertaining to business transactions recorded by other workers.
Excludes ""Payroll and Timekeeping Clerks"" (43-3051)."
469,244,43-3041,Gambling Cage Workers,"In a gambling establishment, conduct financial transactions for patrons.
Accept patron's credit application and verify credit references to provide
check-cashing authorization or to establish house credit accounts. May
reconcile daily summaries of transactions to balance books. May sell
gambling chips, tokens, or tickets to patrons, or to other workers for
resale to patrons. May convert gambling chips, tokens, or tickets to
currency upon patron's request. May use a cash register or computer to
record transaction."
470,245,43-3051,Payroll and Timekeeping Clerks,"Compile and record employee time and payroll data. May compute employees'
time worked, production, and commission. May compute and post wages and
deductions, or prepare paychecks. Excludes ""Bookkeeping, Accounting, and
Auditing Clerks"" (43-3031)."
471,246,43-3061,Procurement Clerks,"Compile information and records to draw up purchase orders for procurement
of materials and services. Excludes ""Wholesale and Retail Buyers, Except
Farm Products"" (13-1022)."
472,247,43-3071,Tellers,"Receive and pay out money. Keep records of money and negotiable instruments
involved in a financial institution's various transactions."
473,248,43-3099,"Financial Clerks, All Other",All financial clerks not listed separately.
474,249,43-4011,Brokerage Clerks,"Perform duties related to the purchase, sale, or holding of securities.
Duties include writing orders for stock purchases or sales, computing
transfer taxes, verifying stock transactions, accepting and delivering
securities, tracking stock price fluctuations, computing equity,
distributing dividends, and keeping records of daily transactions and
holdings."
475,250,43-4021,Correspondence Clerks,"Compose letters or electronic correspondence in reply to requests for
merchandise, damage claims, credit and other information, delinquent
accounts, incorrect billings, or unsatisfactory services. Duties may
include gathering data to formulate reply and preparing correspondence."
476,251,43-4031,"Court, Municipal, and License Clerks","Perform clerical duties for courts of law, municipalities, or governmental
licensing agencies and bureaus. May prepare docket of cases to be called;
secure information for judges and court; prepare draft agendas or bylaws
for town or city council; answer official correspondence; keep fiscal
records and accounts; issue licenses or permits; and record data,
administer tests, or collect fees. Clerks of Court are classified in
""Managers, All Other"" (11-9199)."
477,252,43-4041,"Credit Authorizers, Checkers, and Clerks","Authorize credit charges against customers' accounts. Investigate history
and credit standing of individuals or business establishments applying for
credit. May interview applicants to obtain personal and financial data,
determine credit worthiness, process applications, and notify customers of
acceptance or rejection of credit."
478,253,43-4051,Customer Service Representatives,"Interact with customers to provide basic or scripted information in
response to routine inquiries about products and services. May handle and
resolve general complaints. Excludes individuals whose duties are primarily
installation, sales, repair, and technical support."
479,254,43-4061,"Eligibility Interviewers, Government Programs","Determine eligibility of persons applying to receive assistance from
government programs and agency resources, such as welfare, unemployment
benefits, social security, and public housing."
480,255,43-4071,File Clerks,"File correspondence, cards, invoices, receipts, and other records in
alphabetical or numerical order or according to the filing system used.
Locate and remove material from file when requested."
481,256,43-4081,"Hotel, Motel, and Resort Desk Clerks","Accommodate hotel, motel, and resort patrons by registering and assigning
rooms to guests, issuing room keys or cards, transmitting and receiving
messages, keeping records of occupied rooms and guests' accounts, making
and confirming reservations, and presenting statements to and collecting
payments from departing guests."
482,257,43-4111,"Interviewers, Except Eligibility and Loan","Interview persons by telephone, mail, in person, or by other means for the
purpose of completing forms, applications, or questionnaires. Ask specific
questions, record answers, and assist persons with completing form. May
sort, classify, and file forms."
483,258,43-4121,"Library Assistants, Clerical","Compile records, and sort, shelve, issue, and receive library materials
such as books, electronic media, pictures, cards, slides and microfilm.
Locate library materials for loan and replace material in shelving area,
stacks, or files according to identification number and title. Register
patrons to permit them to borrow books, periodicals, and other library
materials. Excludes ""Library Technicians"" (25-4031)."
484,259,43-4131,Loan Interviewers and Clerks,"Interview loan applicants to elicit information; investigate applicants'
backgrounds and verify references; prepare loan request papers; and forward
findings, reports, and documents to appraisal department. Review loan
papers to ensure completeness, and complete transactions between loan
establishment, borrowers, and sellers upon approval of loan."
485,260,43-4141,New Accounts Clerks,"Interview persons desiring to open accounts in financial institutions.
Explain account services available to prospective customers and assist them
in preparing applications."
486,261,43-4151,Order Clerks,"Receive and process incoming orders for materials, merchandise, classified
ads, or services such as repairs, installations, or rental of facilities.
Generally receives orders via mail, phone, fax, or other electronic means.
Duties include informing customers of receipt, prices, shipping dates, and
delays; preparing contracts; and handling complaints. Excludes
""Dispatchers, Except Police, Fire, and Ambulance"" (43-5032) who both
dispatch and take orders for services."
487,262,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping","Compile and keep personnel records. Record data for each employee, such as
address, weekly earnings, absences, amount of sales or production,
supervisory reports, and date of and reason for termination. May prepare
reports for employment records, file employment records, or search employee
files and furnish information to authorized persons."
488,263,43-4171,Receptionists and Information Clerks,"Answer inquiries and provide information to the general public, customers,
visitors, and other interested parties regarding activities conducted at
establishment and location of departments, offices, and employees within
the organization. Excludes ""Switchboard Operators, Including Answering
Service"" (43-2011)."
489,264,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,"Make and confirm reservations for transportation or lodging, or sell
transportation tickets. May check baggage and direct passengers to
designated concourse, pier, or track; deliver tickets and contact
individuals and groups to inform them of package tours; or provide tourists
with travel or transportation information. Excludes """"Cashiers"" (41-2011),
""""Travel Agents"" (41-3041), and """"Hotel, Motel, and Resort Desk Clerks""
(43-4081) who sell tickets for local transport"
490,265,43-4199,"Information and Record Clerks, All Other",All information and record clerks not listed separately.
491,266,43-5011,Cargo and Freight Agents,"Expedite and route movement of incoming and outgoing cargo and freight
shipments in airline, train, and trucking terminals and shipping docks.
Take orders from customers and arrange pickup of freight and cargo for
delivery to loading platform. Prepare and examine bills of lading to
determine shipping charges and tariffs."
492,267,43-5021,Couriers and Messengers,"Pick up and deliver messages, documents, packages, and other items between
offices or departments within an establishment or directly to other
business concerns, traveling by foot, bicycle, motorcycle, automobile, or
public conveyance. Excludes ""Light Truck Drivers"" (53-3033)."
493,268,43-5031,Public Safety Telecommunicators,"Operate telephone, radio, or other communication systems to receive and
communicate requests for emergency assistance at 9-1-1 public safety
answering points and emergency operations centers. Take information from
the public and other sources regarding crimes, threats, disturbances, acts
of terrorism, fires, medical emergencies, and other public safety matters.
May coordinate and provide information to law enforcement and emergency
response personnel. May access sensitive databases and other information
sources as needed. May provide additional instructions to callers based on
knowledge of and certification in law enforcement, fire, or emergency
medical procedures."
494,268,43-5032,"Dispatchers, Except Police, Fire, and Ambulance","Schedule and dispatch workers, work crews, equipment, or service vehicles
for conveyance of materials, freight, or passengers, or for normal
installation, service, or emergency repairs rendered outside the place of
business. Duties may include using radio, telephone, or computer to
transmit assignments and compiling statistics and reports on work progress."
495,269,43-5041,"Meter Readers, Utilities","Read meter and record consumption of electricity, gas, water, or steam."
496,270,43-5051,Postal Service Clerks,"Perform any combination of tasks in a United States Postal Service (USPS)
post office, such as receive letters and parcels; sell postage and revenue
stamps, postal cards, and stamped envelopes; fill out and sell money
orders; place mail in pigeon holes of mail rack or in bags; and examine
mail for correct postage. Includes postal service clerks employed by USPS
contractors."
497,270,43-5052,Postal Service Mail Carriers,"Sort and deliver mail for the United States Postal Service (USPS). Deliver
mail on established route by vehicle or on foot. Includes postal service
mail carriers employed by USPS contractors."
498,270,43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators","Prepare incoming and outgoing mail for distribution for the United States
Postal Service (USPS). Examine, sort, and route mail. Load, operate, and
occasionally adjust and repair mail processing, sorting, and canceling
machinery. Keep records of shipments, pouches, and sacks, and perform other
duties related to mail handling within the postal service. Includes postal
service mail sorters and processors employed by USPS contractors. Excludes
""Postal Service Clerks"" (43-5051) and ""Postal Service Mail Carriers""
(43-5052)."
499,271,43-5061,"Production, Planning, and Expediting Clerks","Coordinate and expedite the flow of work and materials within or between
departments of an establishment according to production schedule. Duties
include reviewing and distributing production, work, and shipment
schedules; conferring with department supervisors to determine progress of
work and completion dates; and compiling reports on progress of work,
inventory levels, costs, and production problems. Excludes ""Project
Management Specialists"" (13-1082) and ""Weighers, Measurers, Checkers, and
Samplers, Recordkeeping"" (43-5111)."
500,272,43-5071,"Shipping, Receiving, and Inventory Clerks","Verify and maintain records on incoming and outgoing shipments involving
inventory. Duties include verifying and recording incoming merchandise or
material and arranging for the transportation of products. May prepare
items for shipment. Excludes ""Weighers, Measurers, Checkers, and Samplers,
Recordkeeping"" (43-5111), ""Mail Clerks and Mail Machine Operators, except
Postal Service"" (43-9051), and ""Stockers and Order Fillers"" (53-7065)."
501,273,43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping","Weigh, measure, and check materials, supplies, and equipment for the
purpose of keeping relevant records. Duties are primarily clerical by
nature. Includes workers who collect and keep record of samples of products
or materials. Excludes ""Inspectors, Testers, Sorters, Samplers, and
Weighers"" (51-9061)."
502,274,43-6011,Executive Secretaries and Executive Administrative Assistants,"Provide high-level administrative support by conducting research, preparing
statistical reports, and handling information requests, as well as
performing routine administrative functions such as preparing
correspondence, receiving visitors, arranging conference calls, and
scheduling meetings. May also train and supervise lower-level clerical
staff. Excludes ""Secretaries"" (43-6012 through 43-6014)."
503,274,43-6012,Legal Secretaries and Administrative Assistants,"Perform secretarial duties using legal terminology, procedures, and
documents. Prepare legal papers and correspondence, such as summonses,
complaints, motions, and subpoenas. May also assist with legal research."
504,274,43-6013,Medical Secretaries and Administrative Assistants,"Perform secretarial duties using specific knowledge of medical terminology
and hospital, clinic, or laboratory procedures. Duties may include
scheduling appointments, billing patients, and compiling and recording
medical charts, reports, and correspondence."
505,274,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","Perform routine administrative functions such as drafting correspondence,
scheduling appointments, organizing and maintaining paper and electronic
files, or providing information to callers. Excludes legal, medical, and
executive secretaries (43-6011 through 43-6013)."
506,275,43-9021,Data Entry Keyers,"Operate data entry device, such as keyboard or photo composing perforator.
Duties may include verifying data and preparing materials for printing.
Excludes ""Word Processors and Typists"" (43-9022)."
507,275,43-9022,Word Processors and Typists,"Use word processor, computer, or typewriter to type letters, reports,
forms, or other material from rough draft, corrected copy, or voice
recording. May perform other clerical duties as assigned. Excludes ""Court
Reporters and Simultaneous Captioners"" (27-3092), ""Medical
Transcriptionists"" (31-9094), ""Secretaries and Administrative Assistants""
(43-6010), and ""Data Entry Keyers"" (43-9021)."
508,276,43-9031,Desktop Publishers,"Format typescript and graphic elements using computer software to produce
publication-ready material."
509,277,43-9041,Insurance Claims and Policy Processing Clerks,"Process new insurance policies, modifications to existing policies, and
claims forms. Obtain information from policyholders to verify the accuracy
and completeness of information on claims forms, applications and related
documents, and company records. Update existing policies and company
records to reflect changes requested by policyholders and insurance company
representatives. Excludes ""Claims Adjusters, Examiners, and Investigators""
(13-1031)."
510,278,43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service","Prepare incoming and outgoing mail for distribution. Time-stamp, open,
read, sort, and route incoming mail; and address, seal, stamp, fold, stuff,
and affix postage to outgoing mail or packages. Duties may also include
keeping necessary records and completed forms."
